iter_num	obj	reduced_cost
164	3702036.89	591847.93
165	3691361.19	956845.57
166	3680764.88	748863.69
167	3676954.16	651396.41
168	3671353.32	695437.90
169	3666752.98	762167.98
170	3661822.61	534377.45
171	3656731.80	723439.56
172	3645895.85	588526.97
173	3640733.27	688896.60
174	3639056.68	470800.34
175	3636021.63	642136.73
176	3634246.55	525480.53
177	3633624.92	615831.90
178	3632723.62	563913.03
179	3629997.04	445388.01
180	3626693.71	352103.53
181	3611680.93	405038.05
182	3598431.40	411325.46
183	3592916.51	592977.96
184	3588979.42	446379.24
185	3583239.90	473175.80
186	3575905.14	675199.62
187	3572694.06	331710.96
188	3570976.53	406581.37
189	3568784.22	354481.39
190	3562934.46	384505.31
191	3560570.00	354571.77
192	3555614.62	394388.41
193	3551401.16	409349.75
194	3551028.38	287468.09
195	3550742.31	247966.86
196	3549863.76	229567.46
197	3549295.00	289683.38
198	3548051.29	329631.70
199	3547378.73	230661.80
200	3545632.56	274238.84
201	3544837.96	267977.30
202	3538428.21	231838.04
203	3535145.01	355724.81
204	3532929.74	200752.16
205	3530511.88	258486.54
206	3528442.92	186181.50
207	3526486.68	368386.39
208	3524304.00	199907.06
209	3517563.84	252465.70
210	3514199.02	303097.19
211	3510926.08	290494.94
212	3509431.91	228147.03
213	3509262.06	231939.91
214	3508980.71	278565.63
215	3508300.77	159467.37
216	3507419.88	204909.53
217	3506372.59	205387.67
218	3505572.02	187997.44
219	3504775.98	171194.42
220	3504168.12	216233.83
221	3503025.54	163899.28
222	3501933.05	169517.36
223	3500206.79	136687.96
224	3497005.59	121788.23
225	3493064.86	166553.80
226	3492158.33	170489.40
227	3491643.09	132534.60
228	3490690.00	162871.14
229	3490391.64	115862.19
230	3490116.20	147625.76
231	3489842.95	110819.14
232	3489368.72	147051.88
233	3488424.71	131580.01
234	3488111.17	99217.14
235	3487695.39	112837.14
236	3485602.54	160317.97
237	3483815.10	112348.59
238	3481035.20	144741.59
239	3480230.58	134783.89
240	3479183.35	158713.66
241	3478644.69	118945.89
242	3478484.92	90476.63
243	3477142.68	91543.41
244	3476301.59	114098.54
245	3475141.49	102336.96
246	3472616.29	97759.42
247	3471978.66	76988.56
248	3471707.14	146457.53
249	3471580.84	119554.02
250	3471078.67	122915.74
251	3470649.76	95986.07
252	3470515.63	97328.07
253	3470171.74	80990.51
254	3469313.77	86878.63
255	3469099.19	75812.79
256	3468360.82	65229.02
257	3467233.02	67910.71
258	3465916.15	87777.36
259	3463493.98	91631.32
260	3462640.24	72739.07
261	3462095.93	64550.54
262	3461990.98	48697.90
263	3461808.65	66670.41
264	3461333.89	82087.73
265	3460794.17	66135.56
266	3460447.44	66535.22
267	3460302.54	75674.54
268	3460142.91	65629.17
269	3459846.08	56502.13
270	3459637.40	53220.85
271	3459534.57	42619.60
272	3459511.39	48583.74
273	3459158.24	31271.41
274	3458269.04	57397.39
275	3457978.42	54569.94
276	3457642.38	41858.86
277	3457421.45	33319.65
278	3456766.75	49603.74
279	3455797.81	68774.53
280	3454877.25	50951.70
281	3454716.65	41801.46
282	3454566.52	43370.96
283	3454095.43	55002.50
284	3453600.72	36571.51
285	3452482.36	47450.29
286	3452316.26	48897.04
287	3452159.44	44260.27
288	3451877.11	48917.02
289	3451100.22	46424.08
290	3450249.92	49346.37
291	3450083.09	41199.71
292	3449737.18	37711.68
293	3449600.31	30466.52
294	3449130.05	38946.95
295	3448587.38	45310.83
296	3448225.91	40705.61
297	3447998.60	33314.04
298	3447799.24	21794.94
299	3447368.74	31540.29
300	3447020.53	38350.50
301	3447012.18	22979.73
302	3446849.51	27908.41
303	3446764.47	24960.39
304	3446712.72	24216.84
305	3446619.83	23592.58
306	3446509.24	32165.14
307	3446471.98	31162.79
308	3445645.05	28323.65
309	3444927.00	32675.90
310	3444675.76	31468.71
311	3444537.14	27074.14
312	3444511.05	23251.85
313	3444390.44	18883.33
314	3444314.93	14514.13
315	3444244.30	19900.27
316	3444036.31	16217.58
317	3443647.91	31693.83
318	3443600.44	20996.04
319	3443246.78	23521.74
320	3443155.15	35536.97
321	3443101.53	21940.44
322	3443075.13	19117.65
323	3443053.25	21068.24
324	3443051.30	15506.74
325	3442991.21	20965.52
326	3442873.83	21360.34
327	3442848.70	16637.38
328	3442810.87	26099.64
329	3442768.47	27300.60
330	3442729.60	14104.43
331	3442628.51	24750.60
332	3442547.59	19820.89
333	3442518.42	20376.77
334	3442503.91	16213.10
335	3442499.37	15830.16
336	3442475.71	15116.67
337	3442443.46	22574.37
338	3442410.62	12847.58
339	3442208.78	16076.32
340	3441969.59	18158.77
341	3441921.55	11468.92
342	3441825.64	17877.75
343	3441767.46	11157.89
344	3441633.21	15837.97
345	3441622.36	9684.45
346	3441570.07	9196.68
347	3441565.88	9060.32
348	3441555.28	8874.08
349	3441508.55	15303.93
350	3441452.67	16289.46
351	3441431.61	17507.83
352	3441427.86	8748.88
353	3441399.31	8972.98
354	3441328.09	11441.10
355	3441202.69	15124.59
356	3441191.63	8611.13
357	3441164.34	10997.45
358	3441132.95	9289.08
359	3441104.00	7309.02
360	3441052.67	10262.27
361	3441018.44	7646.19
362	3440888.96	11478.12
363	3440811.13	13213.62
364	3440799.16	7696.54
365	3440734.59	7748.08
366	3440700.59	13259.78
367	3440676.56	10250.13
368	3440523.04	7330.30
369	3440517.23	9203.90
370	3440507.08	5317.51
371	3440443.35	8182.49
372	3440389.41	5749.99
373	3440367.82	7963.62
374	3440358.62	6524.61
375	3440241.11	5133.65
376	3440118.00	6738.11
377	3440080.62	6159.35
378	3440018.93	6814.88
379	3439988.62	6174.04
380	3439970.34	4179.76
381	3439959.95	5807.98
382	3439954.57	5093.95
383	3439945.09	4003.45
384	3439913.28	6031.89
385	3439892.66	3125.47
386	3439887.82	4171.06
387	3439882.49	1725.96
388	3439881.05	1619.67
389	3439879.46	1212.12
390	3439871.48	4865.42
391	3439858.12	1937.33
392	3439852.45	2106.49
393	3439851.00	2235.42
394	3439837.00	3522.31
395	3439836.62	2214.30
396	3439807.16	4666.11
397	3439784.42	3826.02
398	3439770.41	3285.64
399	3439723.26	3245.53
400	3439703.13	2437.74
401	3439692.04	3017.16
402	3439681.08	2427.81
403	3439672.92	2004.47
404	3439663.81	2647.89
405	3439641.30	2282.41
406	3439615.91	2752.23
407	3439588.36	1927.74
408	3439585.98	2152.35
409	3439580.57	1694.78
410	3439577.54	3046.41
411	3439576.30	1641.41
412	3439571.78	1573.19
413	3439551.53	1072.21
414	3439533.18	1274.90
415	3439527.62	1240.24
416	3439523.16	1392.61
417	3439520.40	1446.83
418	3439520.21	1081.28
419	3439495.43	1792.38
420	3439490.87	1366.05
421	3439490.59	1356.03
422	3439482.46	1117.50
423	3439472.19	1276.75
424	3439470.43	918.97
425	3439458.46	828.64
426	3439454.68	871.43
427	3439448.88	798.98
428	3439441.92	624.20
429	3439440.62	733.42
430	3439439.80	710.54
431	3439436.72	895.66
432	3439432.22	844.90
433	3439430.19	779.09
434	3439427.22	614.47
435	3439422.85	650.04
436	3439420.17	790.40
437	3439411.94	748.28
438	3439410.12	653.12
439	3439408.25	585.44
440	3439403.89	682.95
441	3439400.75	876.50
442	3439391.06	514.98
443	3439381.09	878.85
444	3439377.55	688.00
445	3439373.87	0.00
